id;placed_date;status;code;customer_id
1;2020-02-25T21:23:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-02-25T08:20:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-02-25T09:51:32;PENDING;Concrete;3
4;2020-02-25T23:17:27;CANCELLED;Investment Account;4
5;2020-02-25T10:34:17;PENDING;United States of America;5
6;2020-02-26T00:46:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-02-26T03:52:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-02-25T12:48:50;COMPLETED;Home Loan Account;8
9;2020-02-25T21:43:06;COMPLETED;Human;9
10;2020-02-25T07:51:44;CANCELLED;payment;10
